mentions,sentiment
quotberdasarkan hasil evaluasi tahun 2024 terdapat 24 jaringan kkb aktif melakukan 203 aksi gangguan hingga mengakibatkan 92 korbanquot kata sigit memimpin acara rilis akhir tahun 2024 polri gedung rupatama mabes polri jakarta selasa,Negatif
itu kata sigit terdapat 6 jaringan kelompok kriminal politik kkp aktif melakukan sejumlah kegiatan tanah papua,Negatif
quotguna menghadapi aksi kkb maupun kkp telah berupaya meningkatkan kapasitas satuan wilayah melakukan pemekaran polda papua papua barat menjadi 6 poldaquot ucapnya,Positif
ldquosalah satu langkah konkret diambil pembangunan lebih 120 menara base transceiver station bts papua diharapkan menjangkau 1000 desa terpencil 2025rdquo ujarnya siaran pers diterima kompascom se,Positif
petani memetik jagung panen perdana kawasan lumbung pangan food estate kampung wambes distrik mannem keerom papua kamis 06072023 lumbung pangan tersebut merupakan lahan pertanian percontohan memenuhi kebutuhan jagung nasional khusu,Positif
menteri agraria tata ruangkepala badan pertanahan nasional bpn nusron wahid buka suara merespons kabar pemindahan proyek lumbung pangan nasional food estate kalimantan merauke papua nusron menegaskan ada pemindahan proyek strat,Netral
nusron menjelaskan mengejar target swasembada pangan 2027 mendatang membutuhkan banyak lahan termasuk kalimantan papua hingga sumatera,Positif
quotfood estate kalimantan merauke digeser karena mencapai swasembada pangan butuh kalimantan butuh papua sumatera jadi fokus food estate pemerintahan kali ada tiga fokus sumatera kalimantan papuaquot,Positif
sebelumnya anggota dewan pakar tkn prabowo drajad wibowo mengatakan prabowo subianto berencana memindahkan proyek lumbung pangan nasional food estate kalimantan merauke papua,Netral
pj gubernur papua barat lakukan kunker akhir tahun fakfak penjabat gubernur papua barat drs h ali baham temongmere melaksanakan kunjungan kerja kunker akhir tahun kabupaten fakfak foto sumber rrinicoafloubun,Positif
kbrnfakfak penjabat gubernur papua barat drs h ali baham temongmere melaksanakan kunjungan kerja kunker akhir tahun kabupaten fakfak selasa 31 desember 2024 meninjau kondisi lapangan kunjungan juga menjadi momen perayaan lepa,Positif
rombongan pemerintah provinsi papua barat wakil bupati fakfak anggota forum koordinasi pimpinan daerah forkopimda fakfak turut hadir mendampingi agenda penting,Netral
pj gubernur papua barat mengecek ketersediaan stok kebutuhan pokok,Positif
kunjungan mencerminkan komitmen gubernur papua barat memastikan kesejahteraan masyarakat seluruh wilayah terutama fakfak menjadi pusat perhatian momentum akhir tahun,Positif
menteri atrbpn nusron wahid menegaskan proyek lumbung pangan food estate kalimantan akan dipindah merauke papua,Netral
bisniscom jakarta menteri agraria tata ruangbadan pertanahan nasional atrbpn nusron wahid menegaskan proyek lumbung pangan food estate kalimantan akan dipindah merauke papua dibutuhkan banyak lahan mewujudkan sw,Netral
nusron menyampaikan mencapai swasembada pangan indonesia masih membutuhkan 16 juta hekatre lahan itu fokus food estate pemerintahan presiden prabowo subianto di tiga wilayah sumatra kalimantan papua,Netral
ldquosalah satu langkah konkret diambil pembangunan lebih 120 menara base transceiver station bts papua diharapkan menjangkau 1000 desa terpencil 2025rdquo ujarnya siaran pers diterima kompascom se,Positif
hal pemerintah membangun lebih 120 menara base transceiver station bts papua target menjangkau seribu desa terpencil 2025 layanan komunikasi,Positif
sorong kapolda pbd brigjen pol gatot haribowo mengatakan polda papua barat daya membutuhkan tambahan personel sebanyak 7049 orang memperkuat pelayanan wilayah daerah otonomi baru,Positif
menurutnya polda papua barat daya mengalami kekurangan personel sebanyak 5420 persen sekitar 7049 orang daftar susunan personel dsp seharusnya berjumlah 15392 personel,Negatif
quotpersonel terpenuhi sekarang baru 8343 orang masih tersebar polrespolresquot jelas kapolda papua barat daya sorong selasa,Negatif
kapolda sudah berdiri sendiri menjadi polda papua barat daya nantinya polda papua barat memutasikan sebagian personel ada bertugas polda papua barat daya,Netral
quotselain nanti bertahap kita membuka rekrutmen anggota memperkuat polda papua barat dayaquot kata kapolda papua barat daya,Positif
mengatakan tr perangkat pejabat polda papua barat daya dikeluarkan baik level wakapolda direktur karo para dansat,Netral
quotini ada namanama pejabat polda papua barat dayaquot ujarnya,Netral
itu juga memastikan kapan pembangunan kantor polda papua barat daya yang lokasi kantor polda terletak aimas kabupaten sorong,Positif
sebanyak 16 pejabat utama akan bertugas polda papua barat daya wakapolda kombes pol semmy ronny tabhaa irwasda kombes pol fernando sanches napitupulu karo ops kombes pol muji hindi harto dansat brimob kombes pol ary nyoto setiawan diri,Netral
karo sdm polda papua barat daya kombes pol i dewa gde juliana karo logistik kombes pol nurochman nulhakim karorena kombes pol muhammad saleh direktur reskrimum kombes pol junov siregar dirresnarkoba kombes pol dewa made palguna direktur samapta kombe,Netral
sorong kapolresta sorong kota polda papua barat daya kombes pol happy perdana yudianto mengatakan angka kriminalitas wilayah kota sorong sepanjang 2024 mengalami penurunan 1037 kasus 2023 menjadi 957 kasus 2024,Positif
jpnncom jayapura sebanyak 990 personel polda papua naik pangkat satu tingkat lebih tinggi periode 1 januari 2025karo sdm polda papua kombes pol sugandi mengatakan 990 personel naik pangkat 14 kombes antaranya39quot14 komb,Positif
kasat reskrim polres teluk bintuni papua barat akp tomi marbun dikabarkan hilang terjadi kontak tembak kkb,Negatif
kasat reskrim polres teluk bintuni papua barat akp tomi marbun dikabarkan hilang terjadi kontak tembak kkb istimewa via tribun medan,Negatif
kasat reskrim polres teluk bintuni papua barat akp tomi marbun dikabarkan hilang terjadi kontak tembak kkb,Negatif
manokwari kompascom kapolda papua barat irjen pol johnny eddizon isir mengumumkan pencarian kasat reskrim polres teluk bintuni akp tommy samuel marbun dihentikan,Negatif
fondasi transformasi digital menkomdigi mempercepat pembangunan infrastruktur digital wilayah 3t terdepan tertinggal terluar salah satu langkah konkret pembangunan lebih 120 menara bts papua target menjangkau 1,Positif
petitum memerintahkan termohon dalam kapasitas kpu papua menetapkan pemilihan ulang dua kabupaten tersebut,Netral
menurutnya pelanggaran distrik jayapura selatan terjadi terangterangan mulai tingkat distrik di kpu papua,Negatif
suasana penandatanganan perjanjian pembiayaan sindikasi proyek kpbu pembangunan jalan trans papua ruas jayapura wamena ballroom gedung hk tower jakarta senin 30122024,Netral
suasana penandatanganan perjanjian pembiayaan sindikasi proyek kpbu pembangunan jalan trans papua ruas jayapura wamena ballroom gedung hk tower jakarta senin 30122024,Netral
kompascom ndash pt hutama mambelim trans papua hmtp sindikasi perbankan resmi menandatangani perjanjian pembiayaan sindikasi proyek kerja sama pemerintah badan usaha kpbu pembangunan jalan trans papua ruas jayapurawamena segmen mamberam,Positif
pelaksana tugas plt direktur hmtp kun hartawan mengatakan penandatanganan tersebut merupakan tindak lanjut penandatanganan perjanjian kerja sama pemerintah proyek kpbu pembangunan jalan trans papua ruas jayapurawamena segmen mamberamoelelim,Positif
ldquodengan penandatanganan hmtp menjalankan amanat pembangunan proyek jalan trans papua ruas jayapurawamena segmen mamberamoelelim sepanjang 5014 kilometer km dicitacitakan sejak masa pemerintahan presiden soehartordquo katanya,Positif
journaltelegraf wacana pemekaran provinsi papua barat berhembus kencang kali ada 10 kabupaten kota baru digadanggadang terbentuk salah satunya kota manokwari,Netral
rencana pemekaran terwujud provinsi papua barat kembali menambah jumlah daerah otonom sejumlah kabupaten kota membentuk provinsi baru papua barat daya tahun 2022 lalu,Positif
morning zone kali membahas peristiwa terjadi selama tahun 2024 kaleidoskop okezone 2024 peristiwa dibahas momen prabowo gibran menang pemilu 2024 pilot asing disandera kkb kasus kematian vina menyita banyak perha,Netral
kapolri jenderal listyo sigit prabowo mengungkap kolaborasi tni polri keberhasilan menyelamatkan pilot susi air kapten philip mark mehrtens disandera kelompok kriminal bersenjata kkb papua jenderal sigit mengatakan operasi penyelama,Positif
tersebut disampaikan jenderal sigit rilis akhir tahun 2024 polri mabes polri jakarta selatan selasa 31122024 mulanya jenderal sigit mengatakan jajarannya melakukan operasi rastra samara kasih rasaka cartenz 2024 papua,Positif
jenderal sigit menerangkan operasi rasaka cartenz garda terdepan melakukan upaya peningkatan kesejahteraan kualitas pendidikan kesehatan tak kata sigit operasi itu dilakukan membangun komunikasi seluruh masyaraka,Positif
quotselaras upaya tersebut polri melakukan pendekatan soft approach melalui penyelenggaraan operasi rastra samara kasih rasaka cartenz 2024 menjadikan binmas noken garda terdepan melakukan upaya peningkatan kesejahte,Positif
presiden prabowo subianto kanan didampingi menteri pertanian andi amran sulaiman kiri berbincang meninjau lahan pertanian desa telaga sari distrik kurik kabupaten merauke papua selatan minggu 3112024 foto rusmanbiro pers sekretariat,Positif
zoominwhiteperbesar presiden prabowo subianto kanan didampingi menteri pertanian andi amran sulaiman kiri berbincang meninjau lahan pertanian desa telaga sari distrik kurik kabupaten merauke papua selatan minggu 3112024 foto rusman,Positif
fondasi transformasi digital menkomdigi mempercepat pembangunan infrastruktur digital wilayah 3t terdepan tertinggal terluar salah satu langkah konkret pembangunan lebih 120 menara bts papua target menjangkau 1,Positif
misalnya provinsi papua selatan 5166 persen papua barat daya 6352 persen papua pegunungan 6555 persen kalimantan selatan 6564 persen sulawesi tengah 7014 persen level kabupatenkota banyak daerah realisasi rendah,Negatif
kurnia menyebut icw pernah melakukan riset 2023 seluruh putusan pengadilan tipikor aceh papua mulai 1 januari 31 desember,Netral
kapolri 92 korban serangan kkb papua selama 2024 kapolri jendral pol listyo sigit jumpa pers rilis akhir tahun polri mabes polri jakarta selatan selasa 31122024 idn timesirfan fathurohman,Negatif
jakarta idn times kapolri jenderal pol listyo sigit prabowo mengungkap terdapat 24 jaringan kelompok kriminal bersenjata kkb aktif melakukan 203 aksi gangguan kamtibmas selama 2024,Negatif
itu terdapat enam jaringan kkb aktif melakukan aksi unjuk rasa mimbar bebas penggalangan tokoh propaganda mengangkat isu marjinalisasi diskriminasi,Negatif
ldquoguna menghadapi aksi kkb maupun kkp telah berupaya meningkatkan kapasitas satuan wilayah melakukan pemekaran polda papua papua barat menjadi enam poldardquo ujar sigit,Positif
polri menghadirkan polda baru polda papua tengah polda papua barat telah mendapat persetujuan kemenpan rb,Positif
ldquoselain mengoptimalkan pemeliharaan kamtibmas wilayah papua langkah juga bentuk dukungan kebijakan pemerintah terkait pemekaran daerah otonomi baru dob diharapkan mempercepat upaya pembangunan meningka,Positif
ldquoserta membangun komunikasi sosial inklusif seluruh masyarakat papua tujuan lsquoto win the hearts and mind the people of papuarsquordquo ujar,Positif
tni berkomitmen menjaga ketertiban pertahanan papua,Positif
republikacoid jakarta prajurit tni memanfaatkan waktu patroli menyapa anakanak kampung jenggernok distrik gome kabupaten puncak papua tengah satuan tugas batalyon infanteri satgas yonif raider 323buaya putih membagikan baju,Positif
republikacoid jakarta pt waskita karya persero tbk meraih kontrak baru senilai rp 1096 miliar berupa pembangunan land development kawasan pusat pemerintahan otonomi baru papua selatan direktur operasi i waskita karya ari asmoko mengatakan,Positif
quotpembangunan proyek bertujuan mempersiapkan lahan pembangunan kawasan pusat pemerintahan daerah otonomi baru papua selatan kami memastikan lahan siap dibangunquot ujar ari keterangan tertulis jakarta senin 3012202,Positif
beberapa proyek utama tengah berjalan mencakup penyelesaian pembangunan pipa bbm tanjung batusamarinda pembangunan fasilitas kompresor gas sulawesi selatan studi kelayakan pengembangan lng terminal banten lng plant kalima,Positif
petugas cash center bni menyusun tumpukan uang rupiah didistribusikan berbagai bank seluruh indonesia memenuhi kebutuhan uang tunai jelang natal tahun baru kepala kantor perwakilan bank indonesia bi provinsi papua mengungkapkan ju,Positif
kapolda papua irjen pol patrige renwarin antaraevarukdijati,Netral
jpnncom jakarta kapolda papua irjen patrige renwarin mengatakan sebanyak 37 personel tnipolri menjadi korban menangani kelompok kriminal bersenjata kkb selama 2024,Negatif
quotselama 2024 tercatat 37 personel tnipolri menjadi korban kkb baik penembakan maupun penganiayaan hingga menyebabkan korban meninggal terlukaquot kata patrige renwarin jayapura selasa 312,Negatif
refleksi akhir 2024 kapolda papua didampingi pejabat utama mengatakan 37 personel tercatat 16 anggota tni gugur terluka sisanya sebelas orang anggota polri delapan orang diantaranya gugur masyarakat tercatat 29 orang meni,Negatif
itu indonesia pastikan satu tiket putaran final asean women39s championship 2025 berisi thailand vietnam filipina myanmartoli fc papua pegunungan lakukan selebrasi perayaan gelar juara piala pertiwi 2024 kingkong,Positif
edisi 2024 toli fc papua pegunungan sukses meraih gelar juara mengandaskan perlawanan raga negeri banten skor 30 lewat brace marsela awi satu gol anita sroyer,Positif
soal diplomasi simon mengapresiasi strategi pengawalan pembangunan dilakukan tni pembentukan batalyon teritorial pembangunan mana tahun 2024 terbentuk lima batalyon papua,Positif
suaracom unit kerja uker tanah miring provinsi papua selatan seorang mantri pemasar mikro bank rakyat indonesia bri agustina etwiory berhasil memajukan perekonomian desa mengenalkan produkproduk perbankan masyarakat k,Positif
agustina lahir besar merauke sebuah kota kecil papua barat memulai perjalanan hidupnya tanah kelahirannya sebelum bergabung bri tahun 2010 teller agustina bekerja satuan polisi pamong praja,Positif
kerja keras dedikasi tinggi agustina membuat perbedaan besar membantu kesejahteraan masyarakat papua barat,Positif
terus melangkah jambatan peran kebutuhan masyarakat kecil papua barat inti semangat agustina pelayanannya,Positif
masyarakat menikmati pesta kembang api tembok berlin kota sorong papua barat daya senin 1 januari 2024 pemerintah provinsi papua barat daya menggelar pesta rakyat menghadirkan sejumlah artis pesta kembang api memeriahkan pergantian tahun,Positif
quotkecepatan angin tertinggi terpantau selat makassar laut sulawesi perairan utara papua perairan utara bangka teluk tomini laut maluku laut halmaheraquot katanya melalui keterangan tertulis selasa 31 desember 2024,Netral
intan jaya papua mdash satgas yonif 509 kostrad menunjukkan kepeduliannya pendidikan anakanak wilayah intan jaya kali prajurit tni dipimpin letda inf nauval mengadakan kegiatan bermain belajar bersama anakanak,Positif
puncak ndash semangat natal penuh kebahagiaan prajurit yonif 323buaya putih menggelar perayaan natal bersama warga kampung eromaga distrik omukia kabupaten puncak papua minggu 29122024,Positif
quotekstensifikasi pasti mengambil wilayahwilayah sekarang diklaim sama pemerintah dianggapnya masih wilayah kosong padahal kalau ke papua hampir semua kan wilayah adat arif kalau melakukan ekspansi model b,Negatif
intan jaya papua mdash satgas yonif 509 kostrad menunjukkan kepeduliannya pendidikan anakanak wilayah intan jaya kali prajurit tni dipimpin letda inf nauval mengadakan kegiatan bermain belajar bersama anakanak,Positif
intan jaya papua ndash suasana natal penuh kedamaian satgas yonif 509 kostrad dipimpin pasiter satgas lettu chk irawan suharto mengadakan kegiatan berbagi makanan gratis masyarakat tengah pelaksanaan patroli keamanan,Positif
berbekal semangat natal rasa peduli sesama prajurit membagikan makanan warga mereka temui sepanjang jalur patroli hanya momen juga dimanfaatkan mempererat hubungan tni masyarakat papua,Positif
jayapura kapolda papua irjen pol patrige renwarin mengatakan sebanyak 37 personel tnipolri menjadi korban menangani kelompok kriminal bersenjata kkb selama tahun 2024,Negatif
quotselama 2024 tercatat 37 personel tnipolri menjadi korban kkb baik penembakan maupun penganiayaan hingga menyebabkan korban meninggal terlukaquot kata kapolda papua irjen pol patrige renwarin jayapura selasa,Negatif
refleksi akhir tahun 2024 kapolda papua didampingi pejabat utama mengatakan 37 personel tercatat 16 anggota tni gugur terluka sisanya 11 orang anggota polri delapan orang diantaranya gugur masyarakat tercatat 29 orang men,Negatif
quotuntuk anggota kkb sendiri tercatat 27 orang meninggal 12 anggota kkb terlukaquot kata patrige,Negatif
jayapura kompascom rangka merayakan pergantian tahun polresta jayapura kota menerapkan sistem buka tutup jalan lima titik keramaian kota jayapura provinsi papua senin 31122024,Netral
satgas pamtas mobile ripng yonif 503 kostrad melaksanakan komunikasi sosial menghadiri acara tradisi adat bakar batu kampung mumugu distrik krepkuri kabupaten nduga papua minggu 29122024,Positif
kegiatan bakar batu merupakan tradisi adat selalu dilaksanakan warga masyarakat papua pegunungan menyambut hari besar ataupun bentuk rasa syukur atas nikmat tuhan telah diberikan satgas yonif 503mayangkara pos batas batu dip,Positif
ldquoselain kepedulian warga masyarakat pos batas batu tunjukkan terapkan kami juga selalu mempererat rasa persaudaraan kekeluargaan sudah lama terjalin satgas yonif 503mayangkara kami akan,Positif
jakarta satgas pamtas mobile ripng yonif 503 kostrad melaksanakan komunikasi sosial menghadiri acara tradisi adat bakar batu kampung mumugu distrik krepkuri kabupaten nduga papua minggu 29122024,Positif
kegiatan bakar batu merupakan tradisi adat selalu dilaksanakan warga masyarakat papua pegunungan menyambut hari besar ataupun bentuk rasa syukur atas nikmat tuhan telah diberikan satgas yonif 503mayangkara pos batas batu dip,Positif
ldquoselain kepedulian warga masyarakat pos batas batu tunjukkan terapkan kami juga selalu mempererat rasa persaudaraan kekeluargaan sudah lama terjalin satgas yonif 503mayangkara kami akan,Positif
puncak ndash semangat natal penuh kebahagiaan prajurit yonif 323buaya putih menggelar perayaan natal bersama warga kampung eromaga distrik omukia kabupaten puncak papua minggu 29122024,Positif
puncak papua ndash suasana natal penuh kehangatan terasa kampung mayuberi distrik ilaga utara kabupaten puncak papua rabu 25122024,Positif
proyek train tangguh 3 milik british petroleum bp teluk bintuni papua barat diresmikan presiden ri joko widodo,Positif
proyek train tangguh 3 milik british petroleum bp teluk bintuni papua barat diresmikan presiden ri joko widodo,Positif
politikus pkb menuturkan kenaikan 23 kursi pkb terjadi jawa timur tiga kursi jatim ii jatim viii jatim x jawa barat lima kursi jabar i jabar ii jabar iv jabar vi jabar xi banten kursi banten i banten ii sumatera,Netral
pt pertamina persero menyiapkan kilang utama mendukung produksi b40 refinery unit iii plaju palembang refinery unit vii kasim papua itu pencampuran bahan bakar solar bahan bakar nabati dilakukan,Positif
berdasarkan data dihimpun direktorat jenderal ditjen bina keuangan daerah keuda kemendagri per 27 desember 2024 terdapat daerah realisasi belanja apbdnya tergolong rendah daerah tersebut provinsi papua selatan papua barat d,Negatif
berdasarkan data dihimpun direktorat jenderal ditjen bina keuangan daerah keuda kemendagri per 27 desember 2024 terdapat daerah realisasi belanja apbdnya tergolong rendah daerah tersebut provinsi papua selatan papua barat d,Negatif
intan jaya papua mdash satgas yonif 509 kostrad menunjukkan kepeduliannya pendidikan anakanak wilayah intan jaya kali prajurit tni dipimpin letda inf nauval mengadakan kegiatan bermain belajar bersama anakanak,Positif
intan jaya papua ndash suasana natal penuh kedamaian satgas yonif 509 kostrad dipimpin pasiter satgas lettu chk irawan suharto mengadakan kegiatan berbagi makanan gratis masyarakat tengah pelaksanaan patroli keamanan,Positif
berbekal semangat natal rasa peduli sesama prajurit membagikan makanan warga mereka temui sepanjang jalur patroli hanya momen juga dimanfaatkan mempererat hubungan tni masyarakat papua,Positif
satgas pamtas mobile ripng yonif 503 kostrad melaksanakan komunikasi sosial menghadiri acara tradisi adat bakar batu kampung mumugu distrik krepkuri kabupaten nduga papua minggu 29122024,Positif
kegiatan bakar batu merupakan tradisi adat selalu dilaksanakan warga masyarakat papua pegunungan menyambut hari besar ataupun bentuk rasa syukur atas nikmat tuhan telah diberikan satgas yonif 503mayangkara pos batas batu dip,Positif
ldquoselain kepedulian warga masyarakat pos batas batu tunjukkan terapkan kami juga selalu mempererat rasa persaudaraan kekeluargaan sudah lama terjalin satgas yonif 503mayangkara kami akan,Positif
puncak ndash semangat natal penuh kebahagiaan prajurit yonif 323buaya putih menggelar perayaan natal bersama warga kampung eromaga distrik omukia kabupaten puncak papua minggu 29122024,Positif
jayapura kompascom rangka merayakan pergantian tahun polresta jayapura kota menerapkan sistem buka tutup jalan lima titik keramaian kota jayapura provinsi papua senin 31122024,Netral
maybrat ndash natal tahun di maybrat papua menjadi momen bersejarah dipenuhi keceriaan berkat kepedulian satgas yonif 501by menggelar acara bertajuk ldquokeceriaan natal bersama masyarakatrdquo prajurit tni berhasil menghad,Positif
acara menampilkan pertunjukan musik natal tarian tradisional papua berbagai permainan interaktif menyatukan prajurit warga kebahagiaan puncaknya pembagian bingkisan natal berisi sembako pakaian mainan menyentuh h,Positif
dansatgas yonif 501by letkol inf yahkya wisnu arianto menyampaikan harapannya ldquomelalui natal kami berbagi kebahagiaan memperkuat persaudaraan masyarakat papua semoga damai natal terus hadir tengah semuardquo,Positif
perayaan tidak meninggalkan kesan mendalam juga mencerminkan komitmen tni terus mendukung pembangunan kedamaian kesejahteraan papua satgas yonif 501by membuktikan kehadiran tni bukan menjaga keamanan jug,Positif
